state,state.po,county,FIPS,candidatevotesR,totalvotes,fracvotesR,partywonR
Virginia,VA,Augusta,51015,26163,36343,0.719891038,1
Virginia,VA,Bath,51017,1548,2253,0.687083888,1
Virginia,VA,Bedford,51019,30659,42525,0.720964139,1
Virginia,VA,Bland,51021,2573,3139,0.819687799,1
Virginia,VA,Botetourt,51023,13375,18739,0.713752068,1
Virginia,VA,Brunswick,51025,3046,7669,0.397183466,0
Virginia,VA,Buchanan,51027,7296,9247,0.789012653,1
Virginia,VA,Buckingham,51029,3950,7295,0.541466758,1
Virginia,VA,Campbell,51031,19551,27535,0.710041765,1
Virginia,VA,Caroline,51033,7147,14863,0.480858508,1
Virginia,VA,Carroll,51035,10663,13668,0.780143401,1
Virginia,VA,Charles City,51036,1476,4107,0.359386413,0
Virginia,VA,Charlotte,51037,3479,5808,0.599001377,1
Virginia,VA,Chesterfield,51041,85045,176461,0.481947852,1
Virginia,VA,Clarke,51043,4661,8213,0.567514915,1
Virginia,VA,Craig,51045,2140,2794,0.765926986,1
Virginia,VA,Culpeper,51047,13349,22218,0.600819156,1
Virginia,VA,Cumberland,51049,2697,4906,0.549735018,1
Virginia,VA,Dickenson,51051,4932,6440,0.765838509,1
Virginia,VA,Dinwiddie,51053,7447,13575,0.548581952,1
Virginia,VA,Essex,51057,2657,5408,0.491309172,1
Virginia,VA,Fairfax,51059,157710,551183,0.286130015,0
Virginia,VA,Fauquier,51061,22127,37467,0.590573038,1
Virginia,VA,Floyd,51063,5293,8051,0.657433859,1
Virginia,VA,Fluvanna,51065,7025,13597,0.516658086,1
Virginia,VA,Franklin,51067,18569,26971,0.688480219,1
Virginia,VA,Frederick,51069,26083,40440,0.644980218,1
Virginia,VA,Giles,51071,5910,8212,0.719678519,1
Virginia,VA,Gloucester,51073,13096,19619,0.667516183,1
Virginia,VA,Goochland,51075,8384,14037,0.597278621,1
Virginia,VA,Grayson,51077,5592,7285,0.767604667,1
Virginia,VA,Greene,51079,5945,9608,0.618755204,1
Virginia,VA,Greensville,51081,1737,4363,0.398120559,0
Virginia,VA,Halifax,51083,9704,17001,0.570789954,1
Virginia,VA,Hanover,51085,39630,62753,0.631523592,1
Virginia,VA,Henrico,51087,59857,163654,0.365753358,0
Virginia,VA,Henry,51089,15208,24106,0.630880279,1
Virginia,VA,Highland,51091,958,1391,0.688713156,1
Virginia,VA,Isle of Wight,51093,12204,21075,0.579074733,1
Virginia,VA,James City,51095,21306,43173,0.493502884,1
Virginia,VA,King and Queen,51097,2099,3697,0.567757641,1
Virginia,VA,King George,51099,7341,12059,0.608756945,1
Virginia,VA,King William,51101,5975,9161,0.652221373,1
Virginia,VA,Lancaster,51103,3523,6645,0.530173062,1
Virginia,VA,Lee,51105,7543,9399,0.802532184,1
Virginia,VA,Loudoun,51107,69949,183097,0.382032475,0
Virginia,VA,Louisa,51109,10528,17631,0.597130055,1
Virginia,VA,Lunenburg,51111,3204,5586,0.573576799,1
Virginia,VA,Madison,51113,4419,6979,0.63318527,1
Virginia,VA,Mathews,51115,3517,5311,0.662210506,1
Virginia,VA,Mecklenburg,51117,8288,14945,0.554566745,1
Virginia,VA,Middlesex,51119,3670,6017,0.609938508,1
Virginia,VA,Montgomery,51121,19459,43031,0.452208873,0
Virginia,VA,Nelson,51125,4154,8318,0.499398894,1
Virginia,VA,New Kent,51127,8118,12242,0.66312694,1
Virginia,VA,Northampton,51131,2686,6172,0.435191186,0
Virginia,VA,Northumberland,51133,4302,7398,0.581508516,1
Virginia,VA,Nottoway,51135,3712,6744,0.550415184,1
Virginia,VA,Orange,51137,10521,17270,0.609206717,1
Virginia,VA,Page,51139,7831,10740,0.729143389,1
Virginia,VA,Patrick,51141,6454,8525,0.757067449,1
Virginia,VA,Pittsylvania,51143,21554,31598,0.68213178,1
Virginia,VA,Powhatan,51145,11885,16900,0.703254438,1
Virginia,VA,Prince Edward,51147,4101,9143,0.448539867,0
Virginia,VA,Prince George,51149,9157,16184,0.565805734,1
Virginia,VA,Prince William,51153,71721,196538,0.364921796,0
Virginia,VA,Pulaski,51155,10322,15167,0.680556471,1
Virginia,VA,Rappahannock,51157,2539,4483,0.566361811,1
Virginia,VA,Richmond,51159,2213,3661,0.60447965,1
Virginia,VA,Roanoke,51161,31408,51489,0.609994368,1
Virginia,VA,Rockbridge,51163,6680,10795,0.618805002,1
Virginia,VA,Rockingham,51165,25990,37487,0.693307013,1
Virginia,VA,Russell,51167,9521,12246,0.77747836,1
Virginia,VA,Scott,51169,8247,10100,0.816534653,1
Virginia,VA,Shenandoah,51171,14094,20513,0.687076488,1
Virginia,VA,Smyth,51173,9750,12890,0.75640031,1
Virginia,VA,Southampton,51175,5035,8878,0.567132237,1
Virginia,VA,Spotsylvania,51177,34623,62562,0.553419008,1
Virginia,VA,Stafford,51179,33868,65934,0.51366518,1
Virginia,VA,Surry,51181,1819,4228,0.430227058,0
Virginia,VA,Sussex,51183,2055,5044,0.40741475,0
Virginia,VA,Tazewell,51185,15168,18566,0.81697727,1
Virginia,VA,Warren,51187,11773,17960,0.655512249,1
Virginia,VA,Washington,51191,19320,25847,0.747475529,1
Virginia,VA,Westmoreland,51193,4448,8574,0.5187777,1
